pkt_rate,byte_rate,flow_dur,src_ip_ent,dst_ip_ent,avg_pkt_size,protocol,n_flows_same_src,label
145798.9443,14004522.6367,96.2551,9.1298,0.0764,96.0537,1,2,1
38.538206,3772.757475,42.14,9.187352,0.0,97.897,0,1,1
47152.7496,1322158.4453,11.43,9.1291,0.1086,28.0399,1,2,1
2.566923,138.613861,2.727,9.184875,0.018258,54.0,6,1,1
0.392118,16.468974,10.201,9.189825,0.0,42.0,17,1,1
0.046995,2.161756,21.279,1.905639,1.905639,46.0,17,3,0
15286.7753,943940.243,6.0996,8.3953,0.0411,61.7488,1,2,1
16.517225,24538.933459,40.261,1.918296,1.918296,1485.657,17,2,0
171753.344,14094546.0414,52.6213,9.6409,0.0309,82.0627,1,1,1
2.020542,180.333389,5.939,1.970951,1.970951,89.25,6,2,0
21.575342,1165.068493,2.92,9.184875,0.018258,54.0,6,1,1
115154.486,9597954.1827,68.1559,9.6523,0.2012,83.3485,1,1,1
1.293326,112.260735,3.866,1.891061,1.974938,86.8,0,1,0
34177.6637,1799487.7944,35.9617,7.4134,0.2745,52.651,6,8,1
4.002163,168.09086,9.245,9.189825,0.018204,42.0,17,1,1
0.363636,19.636364,2.75,9.189825,0.0,54.0,6,1,1
0.082298,3.456506,12.151,9.189825,0.0,42.0,17,1,1
4.80753,44766.3203,59.282,1.905639,1.905639,9311.709,6,1,0
0.13947,11.715481,28.68,1.905639,1.905639,84.0,0,1,0
0.267094,11.217949,3.744,9.189825,0.0,42.0,17,1,1
0.638832,58.77253,43.83,1.0,1.0,92.0,0,1,0
4.191042,176.023749,11.453,9.189825,0.018204,42.0,17,1,1
5290.639,5274824.9477,40.4147,0.6879,0.4158,997.0109,17,35,1
9.573959,516.993777,8.356,9.184875,0.018258,54.0,6,1,1
0.498895,20.953603,14.031,9.189825,0.0,42.0,17,1,1
63016.855,5092072.7593,36.8228,10.0495,0.0578,80.8049,1,1,1
101583.8153,8329534.0797,103.0081,9.8179,0.0411,81.9967,1,2,1
8.860499,587.265609,4.853,1.5,1.5,66.279,6,1,0
2.555425,107.327854,14.479,9.189825,0.018204,42.0,17,1,1
0.456056,44.693465,15.349,1.970951,1.970951,98.0,1,3,0
0.544915,53.401629,36.703,1.970951,1.970951,98.0,1,2,0
90352.8202,8728252.0344,78.3074,9.7809,0.012,96.6019,1,2,1
2518.5887,2089726.9196,58.7786,2.6078,0.0934,829.7214,17,16,1
0.623323,56.532697,36.899,1.918296,1.918296,90.696,0,1,0
0.527148,28.465999,7.588,9.189825,0.0,54.0,6,1,1
187527.4939,7355074.09,83.6474,7.852,0.2527,39.2213,1,1,1
0.801557,78.552617,8.733,1.905639,1.905639,98.0,1,3,0
2.545656,137.465412,9.035,9.189825,0.0,54.0,6,1,1
0.902429,79.883045,27.703,1.918296,1.918296,88.52,6,2,0
0.270289,14.595581,14.799,9.189825,0.0,54.0,6,1,1
0.851238,75.181314,29.369,1.970951,1.970951,88.32,6,3,0
0.190931,10.310263,10.475,9.189825,0.0,54.0,6,1,1
0.235682,9.898657,4.243,9.189825,0.0,42.0,17,1,1
4.356,295.9019,24.6568,0.3706,1.3133,67.9298,1,1,0
57629.0702,41789136.5423,29.2179,0.4011,0.2013,725.1399,17,47,1
16449.5042,852626.9315,49.4521,7.5438,0.3213,51.833,6,3,1
0.488472,42.399375,10.236,1.905639,1.905639,86.8,0,1,0
47.21412,4626.983735,40.454,9.189825,0.018204,98.0,1,1,1
10573.6794,565787.3383,53.1398,7.8536,0.1787,53.509,6,8,1
4.524887,190.045249,0.442,9.189825,0.0,42.0,17,1,1
0.213607,8.971483,9.363,9.189825,0.0,42.0,17,1,1
1.087879,99.627945,45.961,1.970951,1.970951,91.58,6,3,0
0.626987,61.444758,22.329,1.905639,1.905639,98.0,1,3,0
2.872188,191.479177,2.089,1.891061,1.974938,66.667,6,2,0
0.054187,2.492617,36.909,1.905639,1.905639,46.0,17,3,0
15.675809,23280.397285,56.584,1.0,1.0,1485.116,17,2,0
41.764983,62229.825389,4.238,1.918296,1.918296,1490.0,17,2,0
42465.201,1814794.5121,38.802,8.8177,0.4848,42.736,6,2,1
0.732685,71.803178,25.932,1.918296,1.918296,98.0,1,2,0
0.162346,6.818551,18.479,9.189825,0.0,42.0,17,1,1
0.045954,2.113873,43.522,1.905639,1.905639,46.0,17,3,0
0.071478,3.002073,41.971,1.970951,1.970951,42.0,0,1,0
139204.051,10309983.0091,18.7726,7.1914,0.1222,74.0638,1,1,1
0.229964,9.658503,8.697,9.189825,0.0,42.0,17,1,1
0.405919,36.68032,54.198,1.918296,1.918296,90.364,0,1,0
0.363901,19.650655,13.74,9.189825,0.0,54.0,6,1,1
4.436582,44492.207902,35.613,1.970951,1.970951,10028.487,6,2,0
82400.7606,51888136.5517,25.822,1.4796,0.0358,629.7046,17,25,1
0.088075,3.699137,11.354,9.189825,0.018204,42.0,17,1,1
1.133894,102.664651,21.166,0.918296,0.918296,90.542,6,2,0
0.610264,59.805825,36.05,1.970951,1.970951,98.0,1,2,0
0.622014,59.564092,40.192,0.0,0.0,95.76,0,1,0
0.038039,1.597626,26.289,2.0,2.0,42.0,0,1,0
2.96846,124.675325,2.695,9.189825,0.0,42.0,17,1,1
13.167013,711.018711,1.443,9.189825,0.0,54.0,6,1,1
0.514192,21.596051,9.724,9.189825,0.018204,42.0,17,1,1
0.388098,38.033635,7.73,1.905639,1.905639,98.0,0,1,0
0.258498,10.856921,7.737,9.189825,0.0,42.0,17,1,1
13026.3517,12114180.9989,14.3032,2.8359,0.1648,929.975,17,8,1
837.3047,41352.8909,51.5046,6.1682,0.0805,49.3881,6,4,1
0.979226,83.251731,57.188,1.792481,1.792481,85.018,0,1,0
4.538578,245.083207,3.966,9.184875,0.018258,54.0,6,1,1
20.596459,30688.723206,10.73,1.905639,1.905639,1490.0,17,3,0
0.172364,7.239299,17.405,9.189825,0.0,42.0,17,1,1
34841.657,33633292.2117,5.4754,1.5744,0.0599,965.3184,17,26,1
8.11359,438.133874,5.423,9.189825,0.0,54.0,6,1,1
0.093162,3.9128,10.734,9.189825,0.0,42.0,17,1,1
0.301614,12.667773,13.262,9.189825,0.018204,42.0,17,1,1
3.356956,181.275643,2.681,9.189825,0.0,54.0,6,1,1
0.441306,18.534863,2.266,9.189825,0.0,42.0,17,1,1
0.591541,56.465274,37.191,1.0,1.0,95.455,0,1,0
41210.8455,3375161.1189,36.4455,8.6891,0.0648,81.8998,1,2,1
7.918552,563.772624,7.072,1.905639,1.905639,71.196,6,1,0
0.547258,53.631324,56.646,1.905639,1.905639,98.0,1,3,0
536.125654,52540.314136,1.91,9.189825,0.018204,98.0,1,1,1
80346.8334,7491459.7104,83.4069,7.4575,0.1714,93.239,1,1,1
0.969999,40.739971,14.433,9.189825,0.018204,42.0,17,1,1
166492.1275,15966514.1705,38.5611,7.6287,0.1988,95.8995,1,1,1
0.254972,13.768485,11.766,9.184875,0.018258,54.0,6,1,1
0.050157,2.30721,39.875,1.918296,1.918296,46.0,17,2,0
0.112461,4.723347,8.892,9.189825,0.0,42.0,17,1,1
0.15361,8.294931,13.02,9.189825,0.0,54.0,6,1,1
7498.5456,439526.9914,4.1955,5.5656,0.3525,58.615,6,4,1
1.658875,69.672749,13.262,9.189825,0.018204,42.0,17,1,1
3.315583,139.254496,9.953,9.189825,0.018204,42.0,17,1,1
4.13698,295.564238,26.106,1.891061,1.974938,71.444,6,1,0
0.090596,3.805037,11.038,9.189825,0.0,42.0,17,1,1
0.923361,38.781163,3.249,9.189825,0.0,42.0,17,1,1
0.37843,15.89404,10.57,9.189825,0.018204,42.0,17,1,1
4.5069,369.8122,1.0919,0.8074,0.2674,82.0551,1,4,0
14.56736,21642.102957,45.65,1.905639,1.905639,1485.657,17,2,0
0.339098,14.242116,5.898,9.189825,0.0,42.0,17,1,1
184405.9847,14576594.2885,60.9484,7.766,0.2283,79.0462,1,2,1
